job_title,comp_name,comp_type,comp_size,region,city,contract,exper,gender,positions,salary
محاسب,شركة مقر العالم للسفريات,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,both,1,5000.0
بائع,شركة عالم الكهرباء للمقاولات,خاص,متوسطة فئة ب,المنطقة الشرقية,AD DAMMAM...,دوام كامل,0,both,3,5000.0
أخصائي عمليات موارد بشرية,شركه دار السلام,خاص,متوسطة فئة أ,الرياض,ATH THUMA...,دوام كامل,2,both,2,4000.0
ميكانيكي سيارات,مؤسسة لمكو لغيار الزيوت,خاص,صغيرة فئة ب,المنطقة الشرقية,AL HUFUF...,دوام كامل,0,M,10,5000.0
محاسب,مؤسسة فكرة اليمامة للمقاولات,خاص,كبيرة,الرياض,AR RIYADH...,دوام كامل,0,both,1,5000.0
مراقب كاميرات أمنية,مطاعم تراث الدمشقية للوجبات السريعة,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,عمل عن بعد,0,both,1,4500.0
سكرتير تنفيذي,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,4,F,2,6000.0
مدير مكتب,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,4,F,1,8000.0
أخصائي إدارة مشاريع,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,2,F,3,10000.0
مصمم جرافيك,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,4,F,2,5000.0
أخصائي ذكاء أعمال,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,both,4,7200.0
بائع,شركة بيت قطن للتجارة شركة شخص واحد,خاص,متوسطة فئة أ,المنطقة الشرقية,AL BATALI...,دوام كامل,0,both,5,4000.0
محلل بيانات,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,both,4,7200.0
مدير حساب عميل,مؤسسة عبر السوق لتقنية المعلومات,خاص,صغيرة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,2,F,3,6000.0
مصمم جرافيك,مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,حائل,HAIL...,دوام كامل,4,M,1,7000.0
مدخل بيانات,مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,حائل,HAIL...,دوام كامل,2,M,2,3000.0
مطور برامج,مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,حائل,HAIL...,دوام كامل,4,M,1,9000.0
أخصائي إدارة اداء,مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,حائل,HAIL...,دوام كامل,10,M,1,12000.0
مدخل بيانات,شركة إرتقاء المتحدة لاجهزة السلامة,خاص,صغيرة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,2,F,1,4000.0
كيميائي,شركة الغدير الدوليه للتسويق,خاص,صغيرة فئة أ,مكة المكرمة,MAKKAH AL...,دوام كامل,0,F,1,5500.0
محاسب,شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,F,1,5000.0
محاسب,شركة خدمات للوقود,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,F,1,4000.0
محلل نظم المعلومات,شركة الذهبيه الهندسيه للمقاولات (شركة شخص واحد),خاص,متوسطة فئة ج,الرياض,AR RIYADH...,دوام كامل,2,both,4,4000.0
محاسب,مؤسسة سلاسل بابل للمقاولات,خاص,صغيرة فئة ب,مكة المكرمة,GHITHAH...,دوام كامل,0,F,1,4000.0
مدير عام,ورشة اضواء المشاعل للحدادة والالمنيوم,خاص,صغيرة فئة أ,المدينة المنورة,AL MADINA...,دوام كامل,0,M,1,4000.0
مساعد إداري,مؤسسة اتجاهات النجاح للمقاولات,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,F,1,4000.0
كاتب علاقات حكومية,شركة عبدالرؤف عبدالوهاب العيد للاستشارات المهنية,خاص,صغيرة فئة أ,الرياض,ABA ASLAB...,دوام كامل,2,F,9,6000.0
سكرتير تنفيذي,شركة كاف الرقمية للدعاية والاعلان,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,4,M,1,4500.0
مندوب مبيعات,شركة صندوق الرقمي للاتصالات و تقنية المعلومات,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,2,5500.0
مساعد إداري,مركز شذى محمد بن حمد الكثيري ضيافة الأطفال الأهلية,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,F,2,4000.0
معلم حضانة,مركز شذى محمد بن حمد الكثيري ضيافة الأطفال الأهلية,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,F,3,3200.0
فني كيميائي,مصنع الاعشاب الشرقية للصناعة,خاص,صغيرة فئة أ,المنطقة الشرقية,AD DAMMAM...,دوام كامل,4,M,1,5000.0
مهندس كهربائي,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,المدينة المنورة,AL MADINA...,دوام كامل,4,M,2,7000.0
مهندس ميكانيكي,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,المدينة المنورة,AL MADINA...,دوام كامل,4,M,2,7000.0
مدير إداري,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,المدينة المنورة,AL MADINA...,دوام كامل,4,M,1,7000.0
فني هندسة ميكانيكية,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,المدينة المنورة,AL MADINA...,دوام كامل,0,M,2,4500.0
فني هندسة كهربائية,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,المدينة المنورة,AL MADINA...,دوام كامل,0,M,2,4500.0
مدخل بيانات,مؤسسة سلطان عبدالله صويلح المطيرى للمقاولات,خاص,صغيرة فئة ب,المدينة المنورة,YANBU...,دوام كامل,0,M,1,4000.0
محاسب,حلاق ديوان الدانه للحلاقة,خاص,صغيرة فئة أ,المنطقة الشرقية,AD DAMMAM...,دوام كامل,2,both,2,4500.0
بائع,مجمع الرائعه الاقتصاديه التجاري,خاص,صغيرة فئة أ,الباحة,AL AQIQ...,دوام كامل,0,F,2,4000.0
موظف استقبال فندق,فندق قصر الواحة الفندقية,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,both,4,4500.0
مندوب مبيعات,شركـة مجموعة المساع المحدودة,خاص,صغيرة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,2,both,2,5000.0
كاتب استعلامات مركز خدمة عملاء,شركة الرهدن,خاص,كبيرة,المنطقة الشرقية,AD DAMMAM...,دوام كامل,0,both,2,4500.0
بائع,شركة متاجر رمانة التجارية,خاص,متوسطة فئة أ,الرياض,ABA ASLAB...,دوام كامل,0,M,10,4500.0
بائع,شركة جبو رية للحلويات,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,M,4,4500.0
محاسب,مؤسسة فراج فهد بن فراج المخاريم الدوسري للمقاولات,خاص,صغيرة فئة أ,الرياض,WADI AD D...,دوام كامل,0,F,2,6000.0
صيدلي,شركة مجمع الرحمة الطبي,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,2,F,1,4000.0
مهندس معماري داخلي,شركة رتاج المسكن المحدودة (شركة شخص واحد),خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,both,1,4000.0
مهندس معماري,شركة بوابة الفرسان للتصميم,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,F,1,4500.0
بائع مأكولات ومشروبات,مقهى الفصل الخامس لتقديم المشروبات,خاص,صغيرة فئة ب,عسير,TANUMAH...,دوام كامل,0,M,2,4500.0
خطاط,مؤسسة دكان مخمل التجارية,خاص,صغيرة فئة ب,القصيم,BURAYDAH...,دوام كامل,0,both,1,4000.0
منسق زهور,مؤسسة دكان مخمل التجارية,خاص,صغيرة فئة ب,القصيم,BURAYDAH...,دوام كامل,0,both,1,4000.0
